news_headline,news_article,news_category
"RCB anchor & comedian Danish Sait marries Anya Rangaswami, shares pics","RCB anchor and comedian Danish Sait took to Instagram to reveal that he got married to Anya Rangaswami. ""[We] exchanged rings...in the presence of 15 of our closest family and friends, following our registered wedding yesterday,"" he wrote. ""Please bless us and send us your love,"" the comedian, who's also the brother of actress Kubbra Sait, added in his post.",sports
"Sometimes, we didn't want to see each other: Prasad on arguments with Kohli, Shastri","Ex-BCCI chief selector MSK Prasad has revealed the selection committee used to have several arguments with Virat Kohli and Ravi Shastri. He added, ""Sometimes, we didn’t want to see each other after meetings, but the beauty of them is that the next morning when we'd meet they'd recognise and acknowledge that there is (merit in the) point we made.""",sports
"James Anderson creates history, becomes most capped Test player for England","Fast bowler James Anderson has become the most capped Test player for England. The ongoing England-New Zealand Test match is the 38-year-old pacer's 162nd Test match. He overtook former England captain Alastair Cook, who retired after playing 161 Test matches. Anderson holds the record for taking the most wickets in Test matches among fast bowlers with 616 wickets so far.",sports
Eng-Pak series not to be broadcast in Pak as Indian company holds rights: Minister,"Pakistan's Minister of Information and Broadcasting Fawad Chaudhry has said the upcoming limited-over series between England and Pakistan won't be broadcast in Pakistan as an Indian company is holding broadcasting rights in South Asia. ""We cannot conduct business with Indian companies,"" he stated. Pakistan Cricket Board (PCB) and PTV will face considerable losses as a result of this, he added.",sports
"Manjrekar's chat with Twitter user goes viral, says 'Jadeja doesn't know English'","A Twitter user shared screenshots of his personal chat with commentator Sanjay Manjrekar, wherein the duo can be seen debating about Manjrekar's opinion about Ravindra Jadeja and Ravichandran Ashwin. Referring to controversy over him calling Jadeja a 'bits and pieces' player, Manjrekar, in the chat said, ""Jadeja doesn't know English...so he didn't know the actual meaning of bits and pieces.""",sports
"Wrestler Sushil asks for protein supplements, exercise bands in jail","Olympic medal-winning wrestler Sushil Kumar, arrested for the murder of a fellow wrestler, has filed a plea in a Delhi court, seeking high-protein food, dietary supplements and exercise bands in jail. The plea has sought supplements like isolate whey protein, omega 3 capsules, multivitamins etc, saying that denial of these basic requirements will have a huge implication on Sushil's career.",sports
"We were 'bloody Indians' to them, now they lick our backsides: Engineer on racism in UK","Referring to racism he faced in England years ago, ex-India wicketkeeper-batsman Farokh Engineer said people used to make fun of his accent. ""We were all 'bloody Indians' to them till a few years ago. Now once...IPL started, they're all licking our backsides,"" he added. ""It amazes me that just because of money, they are licking our boots now,"" Farokh stated. ",sports
Serbian volleyball player suspended for 'slant eye' gesture against Thailand,"Serbian women's national volleyball team player Sanja Djurdjevic has been suspended for two matches after making a racist gesture during a match against Thailand. The 23-year-old was caught on camera narrowing her eyes with her fingers, after which she apologised along with Volleyball Federation of Serbia. International Volleyball Federation (FIVB) has imposed a fine of ₹16 lakh on the federation.",sports
"Despite all the controversies, Greg Chappell taught India how to win: Suresh Raina","Cricketer Suresh Raina has said that despite all the controversies around his coaching career, former Team India head coach Greg Chappell taught the team how to win. ""The fruits of the seeds he had sown were seen much later when we won the 2011 World Cup,"" Raina added. Chappell was Team India's head coach from 2005 to 2007.",sports
Asiad gold medallist boxer Dingko Singh passes away at 42 after battle with cancer,"Former boxer Dingko Singh, who won the 1998 Asian Games gold medal, passed away aged 42 after a four-year battle with liver cancer. Dingko had also contracted coronavirus last year after returning to Manipur from Delhi amid cancer treatment but had recovered. He was conferred with Arjuna Award in 1998 and was presented the Padma Shri Award in 2013.",sports
